ID WHO city,iso3,country,city,pm10,Year,type_of_stations,pm10_type,pm25,pm25_type,reference,latitude,longitude,population,wbinc16_text,region,date_compiled,population_source,tempcov_PM10,tempcov_PM25,latitude_pop,longitude_pop,Region2,region_abbr,tempcov_PM10_grad,tempcov_PM25_grad,conc_pm25,color_pm25,conc_pm10,color_pm10
3,ALB,Albania,Tirana,31.61542142,2013,"1 station, traffic, urban",Measured,16.06236628,Measured,"European Environment Agency, Air quality e-reporting database",41.33026886,19.82177162,453509,Upper middle income,Eur_LM,2016,NA,NA,NA,NA,NA,Europe (LMIC),Eur (LMIC),NA,NA,15-<25,orange,30-<50,darkred
15,AUS,Australia,Central Coast,12.82046228,2014,-,Converted,5.5,Measured,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf,-33.2788887,151.4324951,297713,High income,Wpr_HI,2016,NA,NA,NA,NA,NA,Western Pacific (HIC),Wpr (HIC),NA,NA,<10,green,<20,green
18,AUS,Australia,Devonport,14.91835611,2013,-,Converted,6.4,Measured,Environment Protection Authority,-41.18479919,146.345993,29050,High income,Wpr_HI,2016,NA,NA,NA,NA,NA,Western Pacific (HIC),Wpr (HIC),NA,NA,<10,green,<20,green
19,AUS,Australia,Geelong,17.5,2014,"1 station, Residential/Light Industry",Measured,7.507529594,Converted,"EPA Victoria, Environment Protection Authority Macleod",-38.17499924,144.3690033,173450,High income,Wpr_HI,2016,NA,NA,NA,NA,NA,Western Pacific (HIC),Wpr (HIC),NA,NA,<10,green,<20,green
22,AUS,Australia,Hobart,14.21905817,2013,-,Converted,6.1,Measured,Environment Protection Authority,-42.854599,147.3150024,170977,High income,Wpr_HI,2016,NA,NA,NA,NA,NA,Western Pacific (HIC),Wpr (HIC),NA,NA,<10,green,<20,green
23,AUS,Australia,La Trobe Valley,19.95,2014,"2 stations, residential, rural",Measured,9.8,Measured,http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf,-38.22105789,146.3975372,72396,High income,Wpr_HI,2016,NA,NA,NA,NA,NA,Western Pacific (HIC),Wpr (HIC),NA,NA,<10,green,<20,green
24,AUS,Australia,Launceston,18.88104445,2013,-,Converted,8.1,Measured,Environment Protection Authority,-41.41740036,147.125,82222,High income,Wpr_HI,2016,NA,NA,NA,NA,NA,Western Pacific (HIC),Wpr (HIC),NA,NA,<10,green,<20,green
25,AUS,Australia,Lower Hunter,17.32704902,2014,-,Converted,7.433333333,Measured,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf,-32.79833221,151.6600037,620530,High income,Wpr_HI,2016,NA,NA,NA,NA,NA,Western Pacific (HIC),Wpr (HIC),NA,NA,<10,green,<20,green
27,AUS,Australia,Melbourne,18.75,2014,"10 stations, Residential/Light Industry",Measured,7.7,Measured,http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf,-37.78105545,145.0307007,4203416,High income,Wpr_HI,2016,NA,NA,NA,NA,NA,Western Pacific (HIC),Wpr (HIC),NA,NA,<10,green,<20,green
38,AUS,Australia,Upper Hunter,19.65804217,2014,-,Converted,8.433333333,Measured,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf,-32.47222137,151.0919495,620530,High income,Wpr_HI,2016,NA,NA,NA,NA,NA,Western Pacific (HIC),Wpr (HIC),NA,NA,<10,green,<20,green
44,AUT,Austria,Bad Ischl,15.86903736,2013,-,Converted,11.63197956,Measured,"European Environment Agency, Air quality e-reporting database",47.95999908,16.20695114,13876,High income,Eur_HI,2016,NA,NA,NA,NA,NA,Europe (HIC),Eur (HIC),NA,NA,10-<15,yellow,<20,green
51,AUT,Austria,Ebenthal,20.39641161,2013,"1 station, background, rural",Measured,14.9505378,Converted,"European Environment Agency, Air quality e-reporting database",46.60833359,14.39861107,7698,High income,Eur_HI,2016,NA,NA,NA,NA,NA,Europe (HIC),Eur (HIC),NA,NA,10-<15,yellow,20-<30,yellow
57,AUT,Austria,Grossenzersdorf,23.98782259,2013,-,Converted,17.58303643,Measured,"European Environment Agency, Air quality e-reporting database",48.23666763,16.63694763,9613,High income,Eur_HI,2016,NA,NA,NA,NA,NA,Europe (HIC),Eur (HIC),NA,NA,15-<25,orange,20-<30,yellow
62,AUT,Austria,Himberg,23.43267223,2013,"1 station, traffic, suburban",Measured,17.17611208,Converted,"European Environment Agency, Air quality e-reporting database",47.45888901,9.640283585,6671,High income,Eur_HI,2016,NA,NA,NA,NA,NA,Europe (HIC),Eur (HIC),NA,NA,15-<25,orange,20-<30,yellow
64,AUT,Austria,Imst,18.13013151,2013,"1 station, traffic, rural",Measured,13.28935803,Converted,"European Environment Agency, Air quality e-reporting database",47.21694946,10.73557758,9506,High income,Eur_HI,2016,NA,NA,NA,NA,NA,Europe (HIC),Eur (HIC),NA,NA,10-<15,yellow,<20,green
68,AUT,Austria,Kematen,20.31965684,2013,"1 station, traffic, urban",Measured,14.89427667,Converted,"European Environment Agency, Air quality e-reporting database",46.61999893,14.31694698,1345,High income,Eur_HI,2016,NA,NA,NA,NA,NA,Europe (HIC),Eur (HIC),NA,NA,10-<15,yellow,20-<30,yellow
69,AUT,Austria,Klagenfurt,23.02879097,2013,"2 stations, traffic, urban",Measured,13.78368583,Measured,"European Environment Agency, Air quality e-reporting database",48.30694199,16.32639885,93236,High income,Eur_HI,2016,NA,NA,NA,NA,NA,Europe (HIC),Eur (HIC),NA,NA,10-<15,yellow,20-<30,yellow
72,AUT,Austria,Krems,23.64537015,2013,"1 station, background, urban",Measured,17.33201933,Converted,"European Environment Agency, Air quality e-reporting database",48.40944672,15.62028027,24032,High income,Eur_HI,2016,NA,NA,NA,NA,NA,Europe (HIC),Eur (HIC),NA,NA,15-<25,orange,20-<30,yellow
82,AUT,Austria,Sankt Andra Im Lavanttal,24.00713827,2013,"1 station, industrial, urban",Measured,17.59719479,Converted,"European Environment Agency, Air quality e-reporting database",46.76388931,14.82222652,10252,High income,Eur_HI,2016,NA,NA,NA,NA,NA,Europe (HIC),Eur (HIC),NA,NA,15-<25,orange,20-<30,yellow
